Index,Image Features
49,"[ 0.00000000e+00  4.74273533e-01  9.88888800e-01 ... -1.31098738e-17
  1.33333333e+00  6.10000000e+02]"
50,"[3.50791961e-02 4.76958513e-01 8.47633541e-01 ... 7.33485424e-21
 6.67187500e-01 1.11100000e+03]"
51,"[9.52715814e-01 2.01474234e-01 1.78558588e-01 ... 5.88550637e-16
 1.49184149e+00 3.35000000e+02]"
52,"[4.44081664e-01 4.10510190e-02 9.43541408e-01 ... 5.13497415e-15
 7.50000000e-01 3.26000000e+02]"
53,"[8.46513212e-02 4.90045130e-01 1.05836344e+00 ... 1.03108923e-17
 7.46875000e-01 1.02200000e+03]"
54,"[0.00000000e+00 1.01339579e+00 1.38803756e+00 ... 7.29046217e-17
 1.66233766e+00 1.01100000e+03]"
55,"[3.90711799e-02 1.34987080e+00 8.87103617e-01 ... 1.61570786e-17
 7.50000000e-01 5.08000000e+02]"
56,"[ 3.49606037e-01  1.92578888e+00  9.40931797e-01 ... -2.72451465e-18
  1.11498258e+00  1.37700000e+03]"
57,"[5.63500859e-02 5.50374269e-01 6.17554307e-01 ... 6.38146183e-18
 1.00000000e+00 5.28000000e+02]"
58,"[1.96549341e-01 2.47971034e+00 2.17206568e-01 ... 8.04306780e-15
 9.46875000e-01 5.44000000e+02]"
59,"[2.87523419e-01 7.40577459e-01 1.11664701e+00 ... 2.32469754e-18
 1.33333333e+00 9.09000000e+02]"
60,"[ 1.06985211e+00  3.56874585e-01  3.18215823e+00 ... -3.94893901e-17
  1.50234742e+00  4.98000000e+02]"
61,"[ 1.67568251e-01  2.04754090e+00  2.62797624e-01 ... -2.68981297e-16
  1.49532710e+00  1.09900000e+03]"
62,"[ 4.69908565e-01  6.65293038e-01  1.33854941e-01 ... -3.50094784e-14
  1.33333333e+00  1.43000000e+02]"
63,"[2.16059104e-01 8.39586437e-01 1.03436917e-01 ... 1.25398068e-15
 1.00000000e+00 1.16500000e+03]"
64,"[ 7.06943423e-02  1.15221345e+00  1.00571358e+00 ... -1.45508856e-18
  1.50588235e+00  6.34000000e+02]"
65,"[ 8.44638228e-01  2.01866597e-01  5.74595667e-02 ... -5.04444410e-16
  1.00000000e+00  4.85000000e+02]"
66,"[3.85105640e-01 1.49996012e-01 1.19455457e+00 ... 4.27391766e-18
 1.33333333e+00 8.86000000e+02]"
67,"[1.89860482e-02 6.98516309e-01 0.00000000e+00 ... 2.60753566e-18
 7.50000000e-01 7.61000000e+02]"
68,"[8.96935584e-04 2.54651606e-01 0.00000000e+00 ... 3.64498761e-17
 1.49882904e+00 5.83000000e+02]"
69,"[ 2.74419859e-02  1.06544411e+00  2.61062741e-01 ... -1.95641019e-18
  1.33333333e+00  1.17900000e+03]"
70,"[ 3.00648473e-02  8.14577520e-01  9.37542379e-01 ... -1.10893367e-15
  1.00000000e+00  6.33000000e+02]"
71,"[1.02398582e-01 7.49942958e-01 0.00000000e+00 ... 8.19957844e-22
 1.50588235e+00 1.27200000e+03]"
72,"[4.10230085e-03 5.64200282e-01 1.01259470e+00 ... 2.64265686e-19
 6.65625000e-01 5.68000000e+02]"
73,"[3.27256136e-02 1.32186019e+00 1.12777688e-01 ... 3.37132158e-18
 1.50588235e+00 6.40000000e+02]"
74,"[3.27832669e-01 1.23269713e+00 2.49441281e-01 ... 1.88598231e-18
 1.33333333e+00 8.80000000e+02]"
75,"[3.52812149e-02 2.38494247e-01 1.69452295e-01 ... 6.91526603e-16
 7.50000000e-01 4.29000000e+02]"
76,"[ 1.74968928e-01  6.88783824e-01  3.22111338e-01 ... -2.26313331e-19
  1.33333333e+00  1.24600000e+03]"
77,"[ 1.89618915e-02  3.54423910e-01  1.38926819e-01 ... -1.61820351e-18
  1.24031008e+00  7.61000000e+02]"
78,"[1.37074897e-02 4.51686949e-01 0.00000000e+00 ... 4.01807128e-18
 6.70312500e-01 5.51000000e+02]"
79,"[2.75587708e-01 5.24233505e-02 7.40586340e-01 ... 2.14592446e-17
 6.75000000e-01 5.83000000e+02]"
