Index,Image Features
453,"[ 5.80776967e-02  9.64804068e-02  3.28264594e-01 ... -1.88856464e-13
  6.67187500e-01  1.81000000e+02]"
454,"[ 5.57989068e-02  2.51270443e-01  4.49986130e-01 ... -4.15888225e-19
  5.98437500e-01  9.76000000e+02]"
455,"[2.04599932e-01 1.40392959e-01 9.15432349e-02 ... 1.21077958e-16
 7.50000000e-01 7.91000000e+02]"
456,"[3.75114530e-01 9.68521833e-02 6.99956477e-01 ... 2.47097176e-17
 1.33333333e+00 9.28000000e+02]"
457,"[ 2.09913656e-01  4.76074010e-01  1.91158998e+00 ... -4.37549325e-21
  1.33333333e+00  1.56100000e+03]"
458,"[4.19268236e-02 7.00554729e-01 7.50905633e-01 ... 1.08811557e-18
 7.50000000e-01 7.52000000e+02]"
459,"[ 1.33635983e-01  7.20588148e-01  9.85061377e-02 ... -1.04741941e-17
  1.40043764e+00  5.48000000e+02]"
460,"[ 6.93786621e-01  0.00000000e+00  4.76879358e-01 ... -3.21927723e-17
  1.25000000e+00  6.71000000e+02]"
461,"[ 4.06966418e-01  1.18078327e+00  1.22287810e+00 ... -3.59203723e-21
  1.33891213e+00  9.57000000e+02]"
462,"[7.70836711e-01 6.96401775e-01 1.12131462e-01 ... 3.60215554e-19
 7.50000000e-01 3.59000000e+02]"
463,"[1.02601849e-01 1.25897422e-01 0.00000000e+00 ... 2.74556365e-17
 1.33891213e+00 1.19900000e+03]"
464,"[1.39633328e-01 1.17037487e+00 9.18893933e-01 ... 4.07862133e-16
 1.50234742e+00 4.91000000e+02]"
465,"[ 7.42715895e-02  8.76838744e-01  0.00000000e+00 ... -2.88252681e-17
  1.33333333e+00  1.11000000e+03]"
466,"[6.47137538e-02 2.19420299e-01 1.25025243e-01 ... 4.80203083e-19
 1.33333333e+00 1.04600000e+03]"
467,"[ 1.32283032e-01  8.01354408e-01  1.61706042e+00 ... -5.17997453e-15
  1.28256513e+00  6.82000000e+02]"
468,"[9.67512652e-02 1.58971861e-01 1.18984796e-01 ... 7.08918564e-15
 6.67187500e-01 1.03000000e+02]"
469,"[ 5.12497909e-02  5.84789097e-01  6.77194968e-02 ... -3.36169130e-19
  1.00000000e+00  1.15100000e+03]"
470,"[ 0.00000000e+00  0.00000000e+00  5.56907117e-01 ... -8.09094531e-16
  6.67187500e-01  5.90000000e+02]"
471,"[ 1.28809050e-01  6.25129879e-01  4.79132444e-01 ... -2.39044916e-18
  1.33333333e+00  7.63000000e+02]"
472,"[2.85218775e-01 1.44398594e+00 3.20605874e-01 ... 4.87040469e-15
 1.49532710e+00 1.57000000e+02]"
473,"[ 4.55514252e-01  1.97867937e-02  3.88437581e+00 ... -1.19696113e-16
  7.50000000e-01  7.03000000e+02]"
474,"[ 7.33838618e-01  9.98770416e-01  3.73488702e-02 ... -6.36102195e-18
  9.66139955e-01  4.01000000e+02]"
475,"[ 6.58827871e-02  6.71418607e-02  1.98546663e-01 ... -4.09583186e-17
  7.50000000e-01  8.05000000e+02]"
476,"[ 2.55598873e-01  0.00000000e+00  1.40198874e+00 ... -4.24656997e-16
  7.50000000e-01  1.72000000e+02]"
477,"[ 0.00000000e+00  0.00000000e+00  7.01801360e-01 ... -9.59457202e-16
  7.12500000e-01  4.97000000e+02]"
478,"[0.00000000e+00 2.47837234e+00 2.44244862e+00 ... 2.59683207e-19
 1.33333333e+00 4.11000000e+02]"
479,"[3.33478898e-02 1.88501632e+00 1.22183271e-01 ... 1.47022693e-20
 1.50234742e+00 1.51200000e+03]"
480,"[ 7.08018839e-02  2.69511759e-01  7.59636879e-01 ... -1.94520207e-16
  7.50000000e-01  3.49000000e+02]"
481,"[3.07723135e-01 4.08399165e-01 1.70924783e-01 ... 3.45370080e-16
 1.50234742e+00 5.21000000e+02]"
482,"[ 4.84504215e-02  3.14652592e-01  8.40423480e-02 ... -2.37417098e-19
  1.39737991e+00  7.78000000e+02]"
483,"[1.00685143e+00 8.26274812e-01 1.16755709e-01 ... 9.45301463e-17
 7.50000000e-01 1.04900000e+03]"
484,"[3.08880210e-01 4.01836485e-01 0.00000000e+00 ... 1.07075964e-21
 1.49882904e+00 9.72000000e+02]"
485,"[ 1.34519696e-01  3.04554367e+00  6.27982914e-01 ... -4.13046867e-18
  1.33333333e+00  7.59000000e+02]"
486,"[9.26295996e-01 1.06286269e-03 1.29845068e-01 ... 5.82111474e-16
 1.49882904e+00 3.95000000e+02]"
487,"[3.69903475e-01 5.59706151e-01 3.77087221e-02 ... 3.44940490e-18
 1.49532710e+00 5.78000000e+02]"
488,"[1.10003376e+00 1.60370934e+00 5.72355866e-01 ... 2.05164065e-19
 1.40043764e+00 2.24500000e+03]"
489,"[ 9.91056040e-02  1.09322250e-01  4.30255920e-01 ... -1.33593717e-18
  7.50000000e-01  1.05200000e+03]"
490,"[1.18276775e-01 2.09034622e-01 2.73269042e-02 ... 1.10003767e-17
 6.67187500e-01 1.08900000e+03]"
491,"[2.74250388e-01 7.01984018e-02 6.27706051e-02 ... 2.17264939e-15
 1.49532710e+00 2.30000000e+02]"
492,"[ 6.30301178e-01  1.72735500e+00  1.04961562e+00 ... -4.44154677e-18
  1.49882904e+00  4.82000000e+02]"
493,"[1.41346186e-01 2.04703376e-01 1.46695241e-01 ... 3.65595916e-18
 1.33333333e+00 2.30000000e+02]"
494,"[ 8.06930840e-01  4.05281544e-01  2.74032146e-01 ... -5.17067170e-19
  1.33056133e+00  1.57800000e+03]"
495,"[ 3.65943611e-01  3.30322266e-01  2.59715497e-01 ... -1.02725048e-16
  1.49532710e+00  5.44000000e+02]"
496,"[ 2.45135307e-01  1.74692190e+00  1.99341655e-01 ... -2.42440456e-18
  1.49184149e+00  5.17000000e+02]"
497,"[ 1.40278709e+00  1.52771497e+00  1.89172328e+00 ... -2.56248098e-18
  1.11498258e+00  1.30100000e+03]"
498,"[8.89920831e-01 9.67303395e-01 1.20502281e+00 ... 3.10629450e-17
 1.49882904e+00 7.79000000e+02]"
499,"[ 0.00000000e+00  8.06585491e-01  6.65416345e-02 ... -2.81700932e-18
  1.33333333e+00  2.33500000e+03]"
500,"[ 2.47379281e-02  1.89226195e-01  4.94708508e-01 ... -1.04126690e-14
  6.65625000e-01  3.16000000e+02]"
501,"[1.54296130e-01 6.46979362e-02 7.41926074e-01 ... 4.14537861e-14
 1.49882904e+00 3.61000000e+02]"
502,"[ 1.41579473e+00  6.86867759e-02  9.97672737e-01 ... -1.50234259e-17
  1.38228942e+00  1.66300000e+03]"
503,"[ 2.23869726e-01  2.42611706e-01  1.79292504e-02 ... -1.12026194e-17
  1.33333333e+00  1.11000000e+03]"
504,"[0.00000000e+00 8.80946875e-01 4.67938483e-01 ... 1.74322824e-18
 1.33333333e+00 1.44900000e+03]"
505,"[ 8.43915157e-03  2.12784827e-01  1.08599573e-01 ... -5.71432085e-22
  1.49882904e+00  1.66800000e+03]"
506,"[7.22513139e-01 1.02583623e+00 2.46697831e+00 ... 4.02207854e-18
 6.68000000e-01 5.54000000e+02]"
507,"[1.64055496e-01 3.70061255e+00 3.89700234e-01 ... 2.62454966e-21
 1.33333333e+00 1.81600000e+03]"
508,"[ 5.50279915e-01  4.07353826e-02  1.13865852e-01 ... -1.72640021e-15
  6.67187500e-01  5.63000000e+02]"
509,"[6.48730338e-01 2.16271002e-02 8.05403113e-01 ... 4.75637961e-14
 1.49882904e+00 3.39000000e+02]"
510,"[ 6.63630804e-03  4.63228256e-01  3.03699613e-01 ... -2.40803324e-16
  1.33333333e+00  4.27000000e+02]"
511,"[ 1.07438600e+00  2.65136976e-02  4.05686758e-02 ... -1.77394228e-16
  1.49882904e+00  6.08000000e+02]"
512,"[ 1.43437713e-01  7.42514968e-01  1.09913397e+00 ... -4.71103785e-19
  1.49882904e+00  1.11000000e+03]"
513,"[ 0.00000000e+00  3.81851077e-01  1.01730239e+00 ... -4.80170139e-19
  7.50000000e-01  1.44500000e+03]"
514,"[1.54915126e-02 2.06274167e-01 1.08493459e+00 ... 3.16430085e-18
 1.50121065e+00 5.02000000e+02]"
515,"[2.25807559e-02 3.86850148e-01 9.13821876e-01 ... 7.77417028e-23
 1.33333333e+00 2.54400000e+03]"
516,"[0.00000000e+00 2.69079477e-01 4.67602521e-01 ... 4.44193976e-18
 1.49882904e+00 7.70000000e+02]"
517,"[3.25540841e-01 1.61308557e-01 1.39756012e+00 ... 1.18773480e-11
 1.33333333e+00 2.09000000e+02]"
518,"[ 1.93994269e-01  4.81598638e-02  1.91782653e-01 ... -1.12650329e-17
  1.33333333e+00  1.52300000e+03]"
519,"[7.70866647e-02 6.60543323e-01 0.00000000e+00 ... 2.56913321e-16
 7.50000000e-01 5.45000000e+02]"
520,"[ 8.52173660e-04  4.26347375e-01  5.99849284e-01 ... -6.41241919e-19
  7.50000000e-01  1.03800000e+03]"
521,"[ 1.06796287e-01  9.55051661e-01  2.32214332e+00 ... -1.29983589e-18
  1.33333333e+00  7.50000000e+02]"
522,"[5.19804537e-01 3.69962960e-01 3.40573639e-01 ... 1.76953560e-15
 1.50000000e+00 3.54000000e+02]"
523,"[ 7.75763169e-02  1.84274089e+00  1.41629577e+00 ... -1.79609728e-16
  1.50588235e+00  8.24000000e+02]"
524,"[5.50302863e-01 2.60388017e-01 1.75358906e-01 ... 3.46506474e-17
 1.33333333e+00 7.89000000e+02]"
525,"[ 6.00479767e-02  1.10066903e+00  8.00612628e-01 ... -1.77064214e-17
  7.50000000e-01  1.22200000e+03]"
526,"[5.14571406e-02 2.34459257e+00 1.36166084e+00 ... 7.74561789e-18
 7.50000000e-01 8.18000000e+02]"
527,"[1.34389877e-01 2.83019003e-02 9.73418653e-01 ... 2.67688299e-13
 1.49882904e+00 2.58000000e+02]"
528,"[ 2.78378022e-04  1.12677500e-01  2.51390547e-01 ... -3.22366452e-18
  1.38528139e+00  1.06400000e+03]"
529,"[ 1.72064841e-01  7.85942256e-01  3.73980433e-01 ... -1.51548193e-16
  1.49882904e+00  6.65000000e+02]"
530,"[2.98935533e-01 1.64840496e+00 1.31335008e+00 ... 1.18943015e-11
 1.33333333e+00 1.02000000e+02]"
531,"[7.59900093e-01 2.01062709e-01 3.38082612e-01 ... 4.47902740e-14
 1.00000000e+00 4.20000000e+02]"
532,"[ 1.79322705e-01  1.79534853e+00  1.98614299e+00 ... -1.53664431e-16
  7.50000000e-01  7.99000000e+02]"
533,"[ 2.41609529e-01  2.41496846e-01  9.51272666e-01 ... -2.07837648e-17
  6.62500000e-01  1.57600000e+03]"
534,"[ 4.37285990e-01  1.18053138e-01  2.97280520e-01 ... -5.52162447e-19
  1.24513619e+00  1.42700000e+03]"
535,"[1.19176574e-01 1.34318423e+00 7.88063228e-01 ... 4.96467732e-21
 1.33333333e+00 1.20900000e+03]"
536,"[1.01170361e-01 1.90317407e-01 1.15308499e+00 ... 1.87606131e-18
 1.32231405e+00 1.55100000e+03]"
537,"[8.41268182e-01 1.18277133e-01 1.72595668e+00 ... 1.76253857e-13
 1.33333333e+00 3.04000000e+02]"
538,"[3.87027889e-01 2.18976274e-01 1.57433271e+00 ... 6.64067687e-18
 1.49532710e+00 6.95000000e+02]"
539,"[ 9.80474502e-02  3.15740943e-01  2.73487830e+00 ... -2.52340416e-18
  7.59375000e-01  1.31000000e+03]"
540,"[6.59468547e-02 1.85510248e-01 2.33178079e-01 ... 4.85300618e-15
 1.49532710e+00 6.59000000e+02]"
541,"[2.07459629e-02 4.10232663e-01 1.21113040e-01 ... 1.20595535e-16
 1.33333333e+00 5.45000000e+02]"
542,"[9.70492437e-02 8.34987983e-02 9.07481670e-01 ... 4.06912351e-15
 1.33333333e+00 5.04000000e+02]"
543,"[ 2.86937833e-01  2.09473148e-01  3.20612669e-01 ... -1.14962045e-18
  1.33333333e+00  1.09800000e+03]"
544,"[0.00000000e+00 8.42171967e-01 2.84385085e-01 ... 3.41529715e-20
 8.01562500e-01 7.46000000e+02]"
545,"[ 0.00000000e+00  1.96104491e+00  3.67001891e-02 ... -2.52872413e-16
  1.33333333e+00  6.60000000e+02]"
546,"[ 1.18889488e-01  5.35735250e-01  3.02879125e-01 ... -3.33948655e-17
  1.33333333e+00  5.02000000e+02]"
547,"[3.71782668e-02 1.80004254e-01 5.76431215e-01 ... 1.72556486e-16
 1.50234742e+00 1.96500000e+03]"
548,"[9.45208892e-02 1.00483990e+00 1.19928673e-01 ... 8.96897406e-19
 6.67187500e-01 6.59000000e+02]"
549,"[ 2.49940291e-01  3.39591891e-01  8.91627073e-02 ... -1.45285414e-16
  9.65625000e-01  3.52000000e+02]"
550,"[4.61168557e-01 3.59765857e-01 9.56136435e-02 ... 2.24010872e-16
 1.33333333e+00 5.71000000e+02]"
551,"[ 1.21528052e-01  9.95294273e-01  3.70043099e-01 ... -7.29488539e-18
  6.67187500e-01  1.04400000e+03]"
552,"[ 5.65632805e-02  7.56771147e-01  1.60468593e-02 ... -9.35151545e-20
  1.25000000e+00  1.27500000e+03]"
553,"[7.04613030e-01 1.10857773e+00 3.07852536e-01 ... 5.94754351e-18
 1.50943396e+00 3.79000000e+02]"
554,"[2.26752341e-01 1.64497471e+00 1.14268613e+00 ... 4.73198038e-17
 1.33333333e+00 7.66000000e+02]"
555,"[7.64347166e-02 4.64268386e-01 8.98325384e-01 ... 2.84591604e-20
 1.33333333e+00 6.37000000e+02]"
556,"[1.66837707e-01 6.74124420e-01 7.85882995e-02 ... 6.43581549e-18
 1.59744409e+00 5.63000000e+02]"
557,"[2.15344112e-02 1.08943498e+00 2.40107596e-01 ... 7.07657823e-22
 1.49882904e+00 1.38000000e+03]"
558,"[9.25949216e-02 4.44830209e-01 1.29793894e+00 ... 3.44541829e-14
 6.65625000e-01 5.02000000e+02]"
559,"[ 8.42963532e-03  6.02925569e-02  6.37624443e-01 ... -2.95441453e-16
  1.51300236e+00  2.92000000e+02]"
560,"[ 3.30921918e-01  2.94373393e-01  4.57188427e-01 ... -3.25405698e-18
  7.50000000e-01  1.82800000e+03]"
561,"[5.33893347e-01 6.65597558e-01 1.26618063e+00 ... 3.52267491e-18
 1.23791103e+00 1.79300000e+03]"
562,"[ 1.31064564e-01  6.68889880e-02  9.62340355e-01 ... -2.17549777e-17
  1.33333333e+00  3.52000000e+02]"
563,"[ 3.34983706e-01  5.43576181e-01  9.90389824e-01 ... -1.83351826e-19
  1.49882904e+00  6.21000000e+02]"
564,"[2.85575520e-02 1.83538938e+00 1.08321318e-02 ... 4.25170116e-17
 1.21212121e+00 2.49300000e+03]"
565,"[4.36508179e-01 6.19040012e-01 2.34642997e-01 ... 6.91348484e-17
 1.33333333e+00 1.08500000e+03]"
566,"[1.42846420e-01 6.35018051e-02 1.44674468e+00 ... 5.97802533e-16
 1.50150150e+00 2.65000000e+02]"
567,"[ 5.61707355e-02  8.12480688e-01  2.33335644e-01 ... -2.45554539e-22
  1.33333333e+00  2.35900000e+03]"
568,"[ 1.96071774e-01  1.64710313e-01  7.46855186e-03 ... -2.75742910e-14
  7.50000000e-01  8.38000000e+02]"
569,"[ 7.00243890e-01  6.79821074e-01  1.40560997e+00 ... -1.49120501e-18
  1.33333333e+00  9.84000000e+02]"
570,"[8.65596056e-01 7.12150857e-02 2.83215381e-02 ... 2.48513964e-14
 1.50234742e+00 2.64000000e+02]"
571,"[ 9.39997137e-02  8.35601911e-02  2.30409217e+00 ... -7.37327624e-18
  6.70312500e-01  4.50000000e+02]"
572,"[0.00000000e+00 3.46356928e-01 1.22237653e-01 ... 9.92039881e-19
 7.50000000e-01 9.21000000e+02]"
573,"[ 2.69178245e-02  4.94653970e-01  9.18561518e-01 ... -2.12046258e-14
  1.33333333e+00  3.68000000e+02]"
574,"[4.43850569e-02 0.00000000e+00 7.85781592e-02 ... 1.13223253e-21
 6.67187500e-01 5.16000000e+02]"
575,"[5.15499450e-02 9.11138654e-01 1.56674516e+00 ... 6.64549653e-14
 1.49882904e+00 1.92000000e+02]"
576,"[ 5.71354572e-03  6.35318696e-01  7.53102660e-01 ... -1.22785674e-19
  1.50588235e+00  8.59000000e+02]"
577,"[2.23881274e-01 1.28890216e+00 1.81658065e+00 ... 3.47916559e-19
 1.00000000e+00 9.95000000e+02]"
578,"[1.53933898e-01 7.18757331e-01 1.12136793e+00 ... 4.29720868e-15
 1.33333333e+00 3.52000000e+02]"
579,"[1.29760429e-01 5.01451552e-01 1.97321922e-02 ... 1.46997071e-20
 1.50234742e+00 1.17300000e+03]"
580,"[1.98091999e-01 1.62199065e-01 3.98976058e-02 ... 2.62983432e-16
 1.33333333e+00 3.91000000e+02]"
581,"[ 2.66414523e-01  8.71969879e-01  2.98383355e-01 ... -2.84887595e-18
  1.33333333e+00  7.47000000e+02]"
582,"[0.00000000e+00 3.80202532e+00 1.29877865e+00 ... 9.06785436e-17
 1.33056133e+00 6.26000000e+02]"
583,"[ 1.58797368e-01  1.53751290e+00  1.20429933e-01 ... -3.02308645e-17
  1.28205128e+00  4.56000000e+02]"
584,"[ 4.21584338e-01  1.23921323e+00  0.00000000e+00 ... -3.95174059e-19
  1.00000000e+00  1.32700000e+03]"
585,"[5.96116818e-02 2.20904827e+00 1.97711825e-01 ... 1.24679478e-17
 1.38228942e+00 9.56000000e+02]"
586,"[4.61304873e-01 7.26985514e-01 0.00000000e+00 ... 1.41932697e-14
 1.49882904e+00 5.46000000e+02]"
587,"[8.08208525e-01 1.40476394e+00 8.50973427e-02 ... 1.49015990e-15
 1.49882904e+00 7.65000000e+02]"
588,"[ 9.18512465e-04  7.71294594e-01  8.23058039e-02 ... -4.72658878e-19
  1.33333333e+00  1.18200000e+03]"
589,"[ 1.75015822e-01  1.59176290e-02  6.68809474e-01 ... -4.09771640e-18
  1.49882904e+00  1.08000000e+03]"
590,"[ 7.66832158e-02  4.61050384e-02  1.25011057e-01 ... -3.46256798e-18
  6.67187500e-01  5.23000000e+02]"
591,"[ 1.29676580e-01  1.36338606e-01  8.75680055e-03 ... -4.67799318e-18
  7.50000000e-01  1.03000000e+03]"
592,"[ 2.43494362e-01  3.93786222e-01  1.65987349e+00 ... -1.34333476e-15
  6.70312500e-01  7.52000000e+02]"
593,"[ 1.28694072e-01  5.77034712e-01  3.83113772e-01 ... -2.25654897e-20
  7.50000000e-01  2.80100000e+03]"
594,"[ 0.00000000e+00  1.48946881e+00  1.95106423e+00 ... -6.64771775e-19
  1.33333333e+00  1.19000000e+03]"
595,"[3.49961966e-02 6.80930540e-02 2.14554977e+00 ... 1.10411861e-18
 1.33333333e+00 7.54000000e+02]"
596,"[ 9.89261389e-01  1.28106222e-01  4.85659301e-01 ... -2.52087847e-18
  7.50000000e-01  1.34700000e+03]"
597,"[ 3.72903608e-02  2.16577604e-01  1.32856458e-01 ... -3.79462607e-18
  1.33333333e+00  7.07000000e+02]"
598,"[7.60587379e-02 1.17252469e+00 1.10028066e-01 ... 6.57139197e-18
 1.77777778e+00 6.01000000e+02]"
599,"[4.46719192e-02 0.00000000e+00 3.17554206e-01 ... 8.58663268e-14
 5.61111111e-01 4.30000000e+01]"
600,"[ 1.61133304e-01  5.34621894e-01  7.77142584e-01 ... -1.29040184e-18
  1.84438040e+00  4.55000000e+02]"
601,"[2.33843863e-01 2.14086604e+00 1.09269746e-01 ... 2.42748695e-21
 1.33333333e+00 2.39100000e+03]"
602,"[0.00000000e+00 2.15823486e-01 1.86650407e+00 ... 1.93507737e-16
 1.33333333e+00 5.17000000e+02]"
603,"[5.47183216e-01 5.00106990e-01 2.44037375e-01 ... 3.83723443e-19
 1.49532710e+00 4.71000000e+02]"
604,"[2.15330943e-01 7.27440298e-01 2.38098502e-01 ... 2.62087703e-16
 1.33333333e+00 4.56000000e+02]"
605,"[ 3.76612812e-01  0.00000000e+00  4.42569256e-01 ... -6.34526787e-18
  6.67187500e-01  1.32300000e+03]"
606,"[ 8.74062538e-01  2.48008594e-01  0.00000000e+00 ... -2.55454456e-19
  1.87683284e+00  1.07400000e+03]"
607,"[ 1.02012768e-01  8.94800603e-01  7.50778615e-01 ... -6.09234551e-21
  1.33333333e+00  1.48600000e+03]"
608,"[ 3.20708901e-02  1.79569796e-01  6.61827385e-01 ... -2.70813020e-20
  1.33333333e+00  1.20800000e+03]"
609,"[6.35498464e-02 7.71945000e-01 0.00000000e+00 ... 1.14456142e-17
 6.50000000e-01 8.95000000e+02]"
610,"[7.73291051e-01 2.00854087e+00 8.81891966e-01 ... 5.73324656e-22
 8.71875000e-01 2.74100000e+03]"
611,"[ 1.45789096e-02  1.89525306e-01  3.43821430e+00 ... -3.01271970e-16
  1.00000000e+00  6.98000000e+02]"
612,"[ 1.74182251e-01  1.06036186e+00  1.51603448e+00 ... -2.49676262e-18
  1.49882904e+00  1.22800000e+03]"
613,"[3.31398159e-01 1.28609765e+00 5.89737631e-02 ... 4.28940890e-16
 1.00000000e+00 4.76000000e+02]"
614,"[ 1.38888769e-02  1.22792315e+00  5.68335176e-01 ... -1.14809477e-17
  6.67187500e-01  7.28000000e+02]"
615,"[ 1.00659347e+00  4.89900708e-02  1.94537103e-01 ... -4.03282451e-16
  8.87500000e-01  9.56000000e+02]"
616,"[2.74257194e-02 2.69755542e-01 6.66852370e-02 ... 3.81201932e-16
 1.33333333e+00 5.42000000e+02]"
617,"[ 8.85684729e-01  2.44636250e+00  2.00274259e-01 ... -9.91186383e-17
  1.50943396e+00  6.50000000e+02]"
618,"[ 9.28964794e-01  4.18702438e-02  1.19405806e-01 ... -6.04137656e-17
  7.50000000e-01  9.21000000e+02]"
619,"[1.60921082e-01 3.17801498e-02 2.13364601e-01 ... 3.97375074e-16
 7.37500000e-01 6.09000000e+02]"
620,"[1.48680106e-01 1.94561332e-01 5.33143663e+00 ... 2.28948627e-18
 7.50000000e-01 9.41000000e+02]"
621,"[2.29770560e-02 3.28473121e-01 6.52260840e-01 ... 2.14409200e-14
 6.67187500e-01 2.95000000e+02]"
622,"[ 0.00000000e+00  1.14372015e+00  1.70277655e-01 ... -5.39304534e-16
  1.49532710e+00  5.68000000e+02]"
623,"[ 2.16903109e-02  5.32018840e-01  4.67159659e-01 ... -2.87443456e-15
  1.53110048e+00  4.94000000e+02]"
624,"[ 5.44129908e-01  1.32846951e+00  1.80755883e-01 ... -2.75041209e-16
  1.29870130e+00  3.80000000e+02]"
625,"[2.99956389e-02 2.47680813e-01 6.57553136e-01 ... 8.85640518e-15
 1.00000000e+00 2.89000000e+02]"
626,"[1.51294696e+00 1.94653916e+00 1.28075111e+00 ... 5.78278313e-18
 1.50234742e+00 3.21000000e+02]"
627,"[ 7.39243403e-02  7.15841711e-01  1.78732798e-02 ... -5.86561488e-19
  1.33333333e+00  1.21100000e+03]"
628,"[1.11361638e-01 3.02904367e-01 1.13863358e-03 ... 4.37216253e-17
 1.77777778e+00 5.33000000e+02]"
629,"[ 1.39260814e-01  1.82330936e-01  1.10082097e-01 ... -5.00950974e-17
  1.50943396e+00  3.75000000e+02]"
630,"[5.16012534e-02 1.96503687e+00 1.20723220e-02 ... 3.53173120e-17
 7.15625000e-01 6.17000000e+02]"
631,"[ 2.72347569e-01  1.07896519e+00  3.81086802e+00 ... -1.21045258e-19
  9.40625000e-01  2.09100000e+03]"
632,"[2.67301220e-02 6.50262237e-02 1.83432484e+00 ... 1.23795240e-16
 1.49882904e+00 4.58000000e+02]"
633,"[ 2.18617588e-01  4.06681299e-01  7.97590911e-01 ... -6.50327059e-17
  1.49882904e+00  6.18000000e+02]"
634,"[1.56169519e-01 1.14134276e+00 2.37353314e-02 ... 8.81741025e-19
 1.49532710e+00 9.51000000e+02]"
635,"[9.44283605e-01 6.42702775e-03 1.95322025e+00 ... 8.75650663e-16
 7.06250000e-01 8.44000000e+02]"
636,"[3.47036570e-01 1.62693167e+00 3.10971230e-01 ... 4.88886840e-17
 1.56097561e+00 8.72000000e+02]"
637,"[ 3.92370433e-01  7.75861219e-02  4.65383023e-01 ... -1.21483716e-16
  7.50000000e-01  3.34000000e+02]"
638,"[2.89913565e-01 2.28606343e+00 3.23037237e-01 ... 1.22748205e-18
 1.44796380e+00 9.66000000e+02]"
639,"[ 5.22617400e-01  9.89197373e-01  2.26872340e-02 ... -2.38705889e-16
  8.18750000e-01  3.60000000e+02]"
640,"[ 6.15796782e-02  1.20900249e+00  1.84877947e-01 ... -8.53383963e-22
  1.33333333e+00  2.33500000e+03]"
641,"[ 1.64550394e-01  2.68027902e-01  0.00000000e+00 ... -4.08486657e-18
  1.49532710e+00  7.69000000e+02]"
642,"[7.53185004e-02 1.20323628e-01 6.08197331e-01 ... 4.50559726e-19
 7.40625000e-01 7.17000000e+02]"
643,"[ 3.03116232e-01  1.54680443e+00  1.18588638e+00 ... -5.09594822e-18
  1.33333333e+00  8.91000000e+02]"
644,"[4.50259924e-01 1.50285706e-01 4.01191592e-01 ... 5.20147381e-17
 1.33333333e+00 9.05000000e+02]"
645,"[ 8.23083669e-02  5.13932109e-01  0.00000000e+00 ... -4.28756049e-16
  6.67187500e-01  8.04000000e+02]"
646,"[1.30638564e-02 2.59503961e-01 1.51227558e+00 ... 7.64920726e-18
 1.49882904e+00 8.05000000e+02]"
647,"[ 1.50376916e-01  8.50601196e-01  3.54529858e-01 ... -4.90997337e-20
  1.00000000e+00  2.06500000e+03]"
648,"[1.74869895e-01 7.26838648e-01 9.54892695e-01 ... 4.53610691e-18
 1.12874780e+00 1.18000000e+03]"
649,"[ 1.32327542e-01  1.22055137e+00  1.11315775e+00 ... -1.02636140e-16
  1.33333333e+00  6.21000000e+02]"
650,"[ 0.00000000e+00  8.37850347e-02  0.00000000e+00 ... -2.81005198e-19
  1.00000000e+00  1.72600000e+03]"
651,"[2.26056818e-02 6.47738457e-01 1.61433113e+00 ... 1.25707012e-16
 1.33333333e+00 4.21000000e+02]"
652,"[ 2.31219791e-02  4.32185739e-01  1.83616376e+00 ... -3.14492245e-15
  1.50234742e+00  5.48000000e+02]"
653,"[5.51238582e-02 2.72206068e-01 1.72079146e-01 ... 1.63260235e-18
 1.33333333e+00 1.27700000e+03]"
654,"[ 7.61212334e-02  4.79257464e-01  5.22239864e-01 ... -3.14053602e-16
  1.49532710e+00  6.71000000e+02]"
655,"[ 0.00000000e+00  6.73975646e-01  1.09880590e+00 ... -3.58128742e-19
  1.33333333e+00  7.23000000e+02]"
656,"[ 2.06418335e-01  8.66651908e-02  1.22213244e+00 ... -3.07355418e-21
  1.33056133e+00  2.79000000e+03]"
657,"[1.00561865e-01 2.69618928e-01 3.57369661e-01 ... 2.51373702e-15
 1.52744630e+00 6.01000000e+02]"
658,"[1.23283163e-01 5.89922406e-02 7.05704689e-01 ... 6.54673356e-18
 7.09375000e-01 6.58000000e+02]"
659,"[ 1.52465794e-02  2.83064187e-01  1.50077492e-01 ... -4.24940475e-15
  6.60937500e-01  3.54000000e+02]"
660,"[ 0.00000000e+00  7.96092749e-02  1.32111812e+00 ... -7.48336635e-18
  6.67187500e-01  9.62000000e+02]"
661,"[6.74453199e-01 5.45821309e-01 4.71773565e-01 ... 4.86126176e-15
 1.49882904e+00 2.77000000e+02]"
662,"[ 4.15904783e-02  3.08900857e+00  8.24329257e-02 ... -5.06917754e-17
  1.33333333e+00  1.00600000e+03]"
663,"[ 3.35312560e-02  8.76003742e-01  5.96535861e-01 ... -1.35880714e-19
  1.33333333e+00  1.37300000e+03]"
664,"[1.33501619e-01 0.00000000e+00 1.86464834e+00 ... 3.71582341e-18
 7.53125000e-01 1.25200000e+03]"
665,"[ 5.11587672e-02  1.18910336e+00  2.83258557e-01 ... -6.91833752e-18
  1.49882904e+00  3.94000000e+02]"
666,"[3.11730593e-03 1.13464856e+00 1.88498989e-01 ... 2.94290561e-17
 7.75000000e-01 5.39000000e+02]"
667,"[ 2.38717228e-01  2.26986170e-01  3.97253960e-01 ... -1.73933952e-15
  1.00000000e+00  7.69000000e+02]"
